Gewerkschaft zu Kahlschlag bei AUA: Katastrophe war absehbar;https://www.diepresse.com/5718195/Luftfahrt_Gewerkschaft-zu-Kahlschlag-bei-AUA_Katastrophe-war-absehbar?from=rss;Falsche Standortpolitik führte zu Lohndrückerei und Wettbewerbsgemetzel unter den Airlines am Flughafen Wien, kritisiert die Gewerkschaft vida.;2019-11-07T17:19:00;ECONOMY
Golf: Schwab greift in der Türkei nach erstem Tour-Sieg;https://www.diepresse.com/5719488/European-Tour_Golf_Schwab-greift-in-der-Tuerkei-nach-erstem-TourSieg?from=rss;Matthias Schwab baute seine Führung am dritten Tag des European-Tour-Finalauftakts auf drei Schläge aus. Bernd Wiesberger liegt an 54. Stelle.;2019-11-09T14:15:00;SPORTS
Apple rechnet mit Plus im Weihnachtsquartal;https://www.diepresse.com/5714779/iPhoneGeschaeft_Apple-rechnet-mit-Plus-im-Weihnachtsquartal?from=rss;Apple zeigt sich optimistisch für das anstehende Weihnachtsgeschäft - die mit Abstand wichtigste Zeit für den iPhone-Konzern. Für das angebrochene Quartal prognostizierte Apple am Mittwoch einen Umsatz-Zuwachs auf 85,5 bis 89,5 Milliarden Dollar.;2019-10-30T22:18:00;TECH
Wie wir lernen, mit dem Auto zu reden [premium];https://www.diepresse.com/5697783/Sprachassistenten_Wie-wir-lernen-mit-dem-Auto-zu-reden?from=rss;Schön sprechen: Sprachassistenten hören auch im Auto mit. Von einfachen Sprachbefehlen haben sich aktuelle Systeme weit abgesetzt. Schmähführen mit der Maschine  das ist keine Science-Fiction mehr.;2019-10-02T11:53:00;LIFESTYLE
AUA-CEO Hoensbroech: Anfang 2020 wird man wissen, wo welche Stellen gestrichen werden;https://www.diepresse.com/5718079/Sparpaket_AUACEO-Hoensbroech_Anfang-2020-wird-man-wissen-wo?from=rss;Wer genau und wie viele Mitarbeiter von den Sparmaßnahmen der Austrian Airlines betroffen sind, soll Anfang kommenden Jahres verkündet werden, sagte AUA-CEO Alexis von Hoensbroech. Ein Großteil des Stellenabbaus soll über die natürliche Fluktuation erfolgen.;2019-11-08T05:42:00;ECONOMY
A1 warnt vor Phishing-App, die Bankdaten stiehlt;https://www.diepresse.com/5714843/NetztestApp_A1-warnt-vor-PhishingApp-die-Bankdaten-stiehlt?from=rss;Kunden, die bereits die App installiert haben, sollen sie umgehend löschen und ihre Bank kontaktieren.;2019-10-31T08:40:00;TECH
Türkis-Grün: Das Wochenende der Entscheidungen;https://www.diepresse.com/5719523/Fahrplan_TuerkisGruen_Das-Wochenende-der-Entscheidungen?from=rss;Die Schritte hin zu türkis-grünen Verhandlungen sind klar vorgegeben: Was bis Montag passiert.;2019-11-09T16:31:00;POLITICS
Konzernverlust bei Magna bremst Fertigung in Graz;https://www.diepresse.com/5718921/Fahrzeuge_Konzernverlust-bei-Magna-bremst-Fertigung-in-Graz?from=rss;Bei Magna Steyr in Graz rollten bis September 124.500 Autos vom Band. Zuletzt hat sich das Tempo des Anstiegs etwas abgebremst;2019-11-08T12:39:00;ECONOMY
Edel sei der Kombi, hilfreich und gut;https://www.diepresse.com/5718530/Fahrbericht_Edel-sei-der-Kombi-hilfreich-und-gut?from=rss;Wer wirklich Stil hat, beweist ihn mit einem Kombi statt einem SUV. Im Fall des BMW 330d ist allerdings auch etwas an Budget erforderlich.;2019-11-07T17:37:00;LIFESTYLE
Transporter: Sprinter mit wachsamen Augen;https://www.diepresse.com/5691332/Transporter_Sprinter-mit-wachsamen-Augen?from=rss;Noch mehr Assistenzsysteme: Gerade in oft eiligen Transportern können sie einen effektiven Beitrag zu mehr Verkehrssicherheit leisten.;2019-09-17T18:28:00;LIFESTYLE
Verkehrswende in Monaco: Vom Boulevard ins Museum? [premium];https://www.diepresse.com/5705259/Auf-den-Strassen-von-Monte-Carlo_Verkehrswende-in-Monaco_Vom?from=rss;Das Fürstentum Monaco ist immer noch Europas Hotspot für Supercars  doch der Zwergstaat arbeitet längst an seiner eigenen kleinen Verkehrswende.;2019-10-13T15:30:00;LIFESTYLE
Weitere unbequeme Details für Trump aus Zeugenaussagen im Kongress;https://www.diepresse.com/5719268/Amtsenthebungsverfahren_Weitere-unbequeme-Details-fuer-Trump-aus?from=rss;Der Ukraine-Experte Alexander Vindman bestätigt den US-Druck auf den ukrainischen Präsidenten Wolodymyr Selenskyj.;2019-11-08T19:26:00;POLITICS
Vorhang auf für die Impeachment-Show [premium];https://www.diepresse.com/5719505/Amtsenthebung_Vorhang-auf-fuer-die-ImpeachmentShow?from=rss;Wochenlang dauern in Washington die Hearings über ein mögliches Amtsenthebungsverfahren gegen Donald Trump schon an  und sie ziehen sich bis hinein ins Wahljahr. Ab Mittwoch auch öffentlich. Eine Übersicht über die Schlüsselfiguren.;2019-11-09T16:05:00;POLITICS
Russland kapselt sich vom Internet ab [premium];https://www.diepresse.com/5715533/Neues-Gesetz_Russland-kapselt-sich-vom-Internet-ab?from=rss;Wladimir Putin treibt seine Vision vom autonomen russischen Staatsnetz voran. Gegner fürchten digitale Zensur wie in China. Noch ist unklar, ob Moskau die technischen Mittel dafür hat.;2019-11-01T16:24:00;TECH
Bequemer Einstieg in das große Kino;https://www.diepresse.com/5719567/Bequemer-Einstieg-in-das-grosse-Kino?from=rss;Mit dem EF 100 bietet Epson einen Laser-Beamer unter 1000 Euro. Im Test waren die Abstriche geringer und lagen woanders, als man auf den ersten Blick vermuten würde.;2019-11-09T17:05:00;TECH
